brand,model,year,head_weight_g,dimension,vcog,moi,rcog,loft,adj_vcog,vcog_cf,cf_1,cf_2,points,mpf,category,iron_number,source_pdf
MALTBY,Outburst NT,2005,254,1.740,0.620,13.65940,0.525,25,-0.110,.510,0,68,1298,1328,Ultra Game Improvement,,MPF_MALTBY.pdf
MALTBY,Outburst Plus,2002,253,1.700,0.650,13.46636,0.550,25,-0.115,.535,0,67,1232,1262,Ultra Game Improvement,,MPF_MALTBY.pdf
MALTBY,Glider X,2005,253,1.566,0.620,12.69630,0.650,26,-0.170,.450,0,63,1179,1209,Ultra Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,Fusion Wide Sole #6,2006,262,1.786,0.852,11.6433,0.824,30,-0.192,.660,0,47,1173,1203,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,Logic Tech,1999,251,1.735,0.720,14.70751,0.500,26,-0.073,.647,0,74,1162,1192,Ultra Game Improvement,,MPF_MALTBY.pdf
MALTBY,Logic Tech,2003,254,1.762,0.728,14.08291,0.500,26,-0.071,.657,0,56,1161,1191,Ultra Game Improvement,,MPF_MALTBY.pdf
MALTBY,Xtreme X-2,2004,255,1.764,0.744,13.68010,0.537,27,-0.080,.664,0,55,1155,1185,Ultra Game Improvement,,MPF_MALTBY.pdf
MALTBY,Outburst,2000,253,1.667,0.661,13.45440,0.450,25,-0.066,.595,0,67,1139,1169,Ultra Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,FT iBrid #6,2008,260.0,1.768,0.815,12.3155,0.675,28,-0.128,.687,0,49,1130,1160,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Hawkeye VFT tungsten injected titanium,2002,255,1.685,0.717,9.40772,0.575,26,-0.110,.607,0,47,1125,1155,Ultra Game Improvement,,MPF_CALLAWAY.pdf
CALLAWAY,FT iBrid #5 Transition Hybrid,2008,254.0,1.659,0.807,11.8760,0.830,25,-0.212,.595,0,59,1123,1153,Ultra Game Improvement,5,MPF_CALLAWAY.pdf
MALTBY,Hybrid ST #6,2008,259.0,1.598,0.744,17.4410,0.740,31,-0.176,0.568,0,87,1117,1147,Ultra Game Improvement,6,MPF_MALTBY.pdf
