brand,model,year,mpf,category,category_by_score,iron_number,source
MALTBY,Outburst NT,2005,1328,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Outburst Plus,2002,1262,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Glider-X,2005,1209,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Fusion Wide Sole #6,2006,1203,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Tech,1999,1192,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Tech,2003,1191,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Xtreme X-2,2004,1185,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Outburst,2000,1169,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,FT iBrid #6,2008,1160,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Hawkeye VFT Tungsten inj.,2002,1155,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,FT iBrid #5 Transition Hybrid,2008,1153,Ultra Game Improvement,Ultra Game Improvement,5,GolfWorks Maltby Playability Factor
MALTBY,Hybrid ST #6,2008,1147,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Tungsten Injected Ti,2002,1142,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MAXFLI,Torque Arm,1997,1116,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha (original),1995,1111,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Gold,2000,1077,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Gold,1997,1063,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,X-20 #6,2007,1051,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,X-18 #6,2004,1040,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,AST Hybrid #6,2005,1039,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Great Big Bertha Tungsten inj.,1997,1038,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Steelhead X-16,2003,1037,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Fusion #6,2004,1031,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,S2 H2,1988,1029,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Glider TL Women’s #6,2009,1028,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha,2002,1024,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Glider S,2008,1023,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,KE-4,2006,1014,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,KE-4 U30,2010,1014,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
LYNX,Tigress #6,2005,1012,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha X-12,1998,989,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845u Silver Back,2003,989,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Lady,2003,986,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,M980 #6,2026,985,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
