category,oem,model,ball_spd,carry,total,launch,spin,peak_ht,descent,shot_area
Game Improvement,Callaway,TI Fusion 250,101.33,140.75,149.53,19.49,4766,22.52,40.15,
Game Improvement,Callaway,Quantum Max,100.96,140.16,150.15,19.21,4567,21.78,39.09,
Game Improvement,COBRA,KING,100.59,138.53,147.89,18.96,4858,21.42,39.3,
Game Improvement,COBRA,3DP X,100.31,137.68,146.64,19.21,4890,21.69,39.76,
Game Improvement,Haywood,SV.2,99.76,137,146.92,19.28,4701,21.12,39.12,
Game Improvement,ONOFF,Iron A.K.A.,101.36,140.47,149.44,19.46,4771,22.37,39.97,
Game Improvement,PXG,0311 XP GEN 8,101.94,142.07,152.14,18.87,4289,21.38,38.31,
Game Improvement,Srixon,ZXiR,100.76,140.17,149.17,19.73,4629,22.33,39.96,
Game Improvement,Stix Golf,Perform Series 2.0,97.68,131.83,142.17,19.85,5411,21.09,40.02,
Game Improvement,Takomo,Iron 101 MKII,99.91,137.37,147.13,19.01,4745,21.05,38.96,
Game Improvement,TaylorMade,Qi Max,101.18,140.23,149.65,19.08,4727,21.7,39.33,
Game Improvement,Titleist,T350,100.21,139,147.18,20.2,4743,22.99,40.84,
Game Improvement,Tour Edge,Exotics Max,100.53,138.25,147.74,18.9,4852,21.23,39.15,
Players,Ballistic,CB,112.19,156.51,161.98,19.9,6124,,46.19,
Players,Callaway,Apex Ai 150,113.85,161.93,167.68,19.43,5450,,45.16,
Players,Fourteen Golf,TC-826 Forged,113.27,159.63,165.58,18.61,5795,,44.44,
Players,LA GOLF,CB-26,112.07,156.15,161.88,19.69,6058,,45.79,
Players,MacGregor,Toney Pena CB,113.79,160.45,166.25,18.53,5790,,44.46,
Players,ONOFF,Kuro Forged Iron,113.38,160.95,167.15,19.21,5459,,44.56,
Players,PING,i240,112.75,156.77,161.73,20.43,6170,,46.98,
Players,PXG,0311T GEN 8,112.65,159.42,165.13,19.98,5734,,45.69,
Players,Srixon,ZXi7,113.31,159.66,165.28,19.27,5769,,45.18,
Players,Takomo,201T MKII,112.73,157.78,162.96,20.35,6040,,46.63,
Players,Titleist,T100,112.69,157.98,163.23,19.85,5991,,46.07,
Players,Titleist,T150,114.29,161.45,166.56,19.44,5734,,45.93,
Players,Tour Edge,Exotics CB,112.58,157.65,163.19,19.22,6058,,45.26,
Players,Wilson,Staff Model CB,112.43,156.99,162.46,19.67,6055,,45.86,
Players,Wilson,Staff Model XB,112.03,157.63,162.94,19.7,5815,,45.42,
Players Distance,Haywood,PD.1,109.87,153.75,160.35,19.17,5673,27.51,43.99,893
Players Distance,LA GOLF,CB-26 Max,109.86,153.27,159.44,19.18,5741,27.85,44.31,895
Players Distance,Lets Play Thru,LSF25,109.8,153.8,159.91,19.76,5654,28.4,44.74,1017
Players Distance,Mizuno,Pro M-15,110.31,156.12,162.74,19.02,5390,27.49,43.72,1007
Players Distance,Mizuno,Pro M-13,109.18,152.1,157.96,20.21,5894,29.15,45.56,851
Players Distance,PING,i540,111.78,159.64,166.17,19.46,5108,28.78,44.17,1321
Players Distance,PXG,0311P GEN8,109.82,155.11,161.3,20.15,5370,28.81,44.82,1008
Players Distance,Takomo,Iron 201 MKII,108.87,151.94,158.55,20.12,5776,28.47,45.04,1017
Players Distance,Titleist,T250,110.32,155.95,162.07,19.93,5412,29.09,44.98,1108
Players Distance,Wilson,DYNAPWR Forged,109.68,154.36,160.44,19.85,5589,28.55,44.79,867
Super Game Improvement,Callaway,Quantum Max OS,93.36,126.03,135.33,20.72,4489,,38.67,971
Super Game Improvement,COBRA,KING MAX,91.85,121.83,131.05,21.18,5026,,39.54,910
Super Game Improvement,Fourteen Golf,TB-3 Forged,93.01,124.08,133.66,20.5,4711,,38.75,943
Super Game Improvement,PING,G740,95.03,128.42,138.37,19.74,4253,,37.43,1253
Super Game Improvement,Srixon,ZXiR HL,90.24,119.5,128.05,22.78,4997,,41.21,868
Super Game Improvement,TaylorMade,Qi Max HL,91.34,121.73,131.34,21.59,4763,,39.53,1014
Super Game Improvement,Tour Edge,Hot Launch Max D,92.97,123.97,132.13,20.94,5082,,39.9,875
