Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,03/02/2026,4:20:49 PM Pacific Standard Time,131.7,189.6,55.4,14.5 L,6 L,37.2,4.7,98.1,17.1,3.8 L,611 L,5314,5349,6.6 L,74.5,,1.32,4.2 DN,0.7 O-I,,,,,,,,
2,03/02/2026,4:21:51 PM Pacific Standard Time,131.4,189.6,55.2,6.5 R,3 R,37.2,4.7,97.6,17.2,1.5 R,314 R,5240,5249,3.4 R,74.7,,1.31,3.6 DN,1.9 I-O,,,,,,,,
3,03/02/2026,4:23:23 PM Pacific Standard Time,128.0,187.8,50.8,15.7 L,5 L,35.4,4.5,95.9,16.9,4.8 L,524 L,4771,4800,6.3 L,72.6,,1.32,3.4 DN,0.0,,,,,,,,
4,03/02/2026,4:23:48 PM Pacific Standard Time,137.1,196.8,78.1,6.1 R,6 R,44.8,5.4,100.6,21.4,0.1 L,674 R,6163,6200,6.2 R,75.5,,1.33,4.8 DN,1.7 O-I,,,,,,,,
5,03/02/2026,4:24:19 PM Pacific Standard Time,116.7,183.1,51.1,26.6 L,15 L,36.3,4.3,89.0,21.1,5.9 L,1532 L,3367,3699,24.5 L,74.2,,1.20,1.1 DN,0.7 I-O,,,,,,,,
6,03/02/2026,4:25:06 PM Pacific Standard Time,143.2,207.0,77.1,9.6 L,3 L,43.5,5.4,102.6,20.5,2.5 L,289 L,5267,5275,3.1 L,77.3,,1.33,1.4 DN,1.4 I-O,,,,,,,,
7,03/02/2026,4:25:47 PM Pacific Standard Time,113.1,203.9,18.2,13.8 L,7 L,16.1,3.1,100.9,8.0,3.7 L,705 L,2941,3024,13.5 L,75.4,,1.34,3.0 DN,0.3 I-O,,,,,,,,
8,03/02/2026,4:26:18 PM Pacific Standard Time,133.0,193.0,78.6,7.1 R,5 R,45.3,5.4,98.1,22.7,0.7 R,593 R,6020,6049,5.6 R,75.5,,1.30,4.4 DN,1.5 O-I,,,,,,,,
9,03/02/2026,4:27:10 PM Pacific Standard Time,128.0,194.8,44.6,20.6 L,9 L,31.8,4.3,96.1,15.8,5.4 L,794 L,3767,3850,11.9 L,72.7,,1.32,1.7 DN,1.5 I-O,,,,,,,,
10,03/02/2026,4:27:37 PM Pacific Standard Time,136.0,195.3,82.0,12.3 R,5 R,46.0,5.5,100.5,22.3,3.3 R,499 R,6530,6549,4.4 R,76.9,,1.31,3.3 DN,1.6 I-O,,,,,,,,
11,03/02/2026,4:28:12 PM Pacific Standard Time,126.3,199.9,29.1,7.1 R,10 R,23.1,3.8,101.6,10.4,1.2 L,954 R,3626,3749,14.7 R,75.6,,1.34,4.6 DN,0.3 I-O,,,,,,,,
12,03/02/2026,4:28:43 PM Pacific Standard Time,128.6,184.0,65.0,3.7 L,1 L,41.6,5.0,96.1,20.0,1.0 L,169 L,6197,6199,1.6 L,76.4,,1.26,4.5 DN,0.1 O-I,,,,,,,,
13,03/02/2026,4:29:08 PM Pacific Standard Time,74.8,155.3,22.0,13.3 L,4 L,23.4,2.7,71.2,18.8,7.4 L,477 L,1155,1250,22.4 L,73.0,,0.97,2.0 DN,4.7 O-I,,,,,,,,
14,03/02/2026,4:29:55 PM Pacific Standard Time,132.0,193.3,64.7,8.3 L,1 L,40.6,5.0,96.4,20.2,3.4 L,53 L,4949,4949,0.6 L,72.3,,1.33,4.7 DN,3.6 O-I,,,,,,,,
15,03/02/2026,4:30:28 PM Pacific Standard Time,51.3,179.8,6.7,5.9 L,2 R,10.4,1.4,78.9,9.3,8.3 L,386 R,583,699,33.5 R,76.9,,1.03,9.2 DN,4.3 O-I,,,,,,,,
Average,,,120.7,190.2,51.9,6.2 L,1 L,34.2,4.3,94.9,17.5,2.8 L,116 L,4393,4459,1.5 L,74.9,,1.27,3.7 DN,0.6 O-I,,,,,,,,
