Zachariah Freitas,Shot Analysis

Dr,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,06/30/2026,6:57:46 PM Pacific Daylight Time,169.4,181.8,66.3,33.4 L,21 L,35.2,5.2,111.7,17.3,4.2 L,924 L,2456,2624,20.6 L,81.6,,1.37,0.9 UP,2.1 O-I,,,,,,,,
2,06/30/2026,6:58:20 PM Pacific Daylight Time,193.7,209.8,58.3,5.6 L,5 L,29.9,5.2,123.1,12.6,0.3 L,152 L,2320,2325,3.7 L,84.6,,1.45,2.9 UP,0.5 I-O,,,,,,,,
3,06/30/2026,6:59:03 PM Pacific Daylight Time,158.9,191.3,40.1,37.9 L,26 L,22.2,3.7,120.3,14.9,4.2 L,1091 L,793,1349,54.0 L,85.7,,1.40,3.7 UP,0.8 O-I,,,,,,,,
4,06/30/2026,6:59:33 PM Pacific Daylight Time,85.6,87.4,106.7,9.3 R,2 R,59.4,5.5,77.3,47.2,5.0 R,266 R,3464,3474,4.4 R,81.0,,0.95,6.9 UP,0.4 O-I,,,,,,,,
5,06/30/2026,7:00:35 PM Pacific Daylight Time,151.9,194.6,29.0,21.8 L,22 L,17.8,3.4,121.9,11.0,0.2 R,1093 L,1167,1599,43.1 L,83.1,,1.47,3.2 UP,0.7 I-O,,,,,,,,
6,06/30/2026,7:01:19 PM Pacific Daylight Time,112.2,179.8,17.9,19.2 L,16 L,13.7,2.4,120.0,10.4,1.6 L,1499 L,557,1599,69.6 L,84.5,,1.42,1.8 UP,1.4 O-I,,,,,,,,
7,06/30/2026,7:01:50 PM Pacific Daylight Time,125.0,176.2,23.7,22.0 L,21 L,16.5,2.7,120.8,12.0,0.6 L,1546 L,575,1649,69.6 L,83.4,,1.45,4.6 UP,1.3 I-O,,,,,,,,
8,06/30/2026,7:02:30 PM Pacific Daylight Time,137.8,195.5,24.6,27.9 L,16 L,15.4,2.9,122.8,11.5,5.2 L,879 L,618,1075,54.9 L,87.0,,1.41,2.2 UP,0.1 O-I,,,,,,,,
9,06/30/2026,7:03:41 PM Pacific Daylight Time,139.3,173.1,31.8,14.3 L,28 L,20.6,3.3,118.5,13.3,5.7 R,1759 L,1002,2024,60.3 L,84.9,,1.40,4.5 UP,2.8 I-O,,,,,,,,
10,06/30/2026,7:04:15 PM Pacific Daylight Time,106.3,195.7,10.9,19.2 L,11 L,9.1,2.1,122.6,6.7,4.7 L,1108 L,972,1474,48.7 L,82.8,,1.48,2.8 UP,1.4 I-O,,,,,,,,
Average,,,138.0,178.5,40.9,19.2 L,16 L,24.0,3.6,115.9,15.7,1.0 L,979 L,1392,1919,42.0 L,83.9,,1.38,3.4 UP,0.2 I-O,,,,,,,,
