Zachariah Freitas,Shot Analysis

5i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,07/01/2026,4:12:05 PM Pacific Daylight Time,125.8,145.7,29.2,30.9 L,16 L,23.3,3.7,103.0,10.5,7.0 L,1610 L,3661,3999,23.7 L,74.2,,1.39,2.1 DN,0.0,,,,,,,,
2,07/01/2026,4:12:31 PM Pacific Daylight Time,80.4,101.8,20.3,6.5 L,6 L,21.9,2.8,77.6,14.5,0.5 L,1170 L,3058,3274,20.9 L,75.5,,1.03,2.4 DN,1.1 I-O,,,,,,,,
3,07/01/2026,4:13:32 PM Pacific Daylight Time,156.2,167.6,57.5,13.0 L,5 L,33.8,4.9,106.6,15.8,2.8 L,302 L,3060,3075,5.6 L,73.2,,1.46,2.8 DN,0.2 O-I,,,,,,,,
4,07/01/2026,4:14:08 PM Pacific Daylight Time,152.4,165.8,48.0,23.2 L,11 L,30.1,4.6,107.3,13.8,4.7 L,632 L,3009,3075,11.9 L,76.2,,1.41,4.4 DN,1.1 O-I,,,,,,,,
5,07/01/2026,4:14:40 PM Pacific Daylight Time,114.6,130.9,34.0,24.1 L,13 L,26.6,3.7,91.6,15.6,5.7 L,1212 L,2551,2824,25.4 L,73.8,,1.24,1.9 DN,0.9 O-I,,,,,,,,
6,07/01/2026,4:15:02 PM Pacific Daylight Time,162.0,172.1,65.0,5.1 L,2 L,36.2,5.2,109.1,16.4,1.0 L,126 L,3322,3324,2.2 L,76.1,,1.43,4.0 DN,0.2 I-O,,,,,,,,
7,07/01/2026,4:15:26 PM Pacific Daylight Time,133.4,150.0,39.3,15.5 L,7 L,26.9,4.1,98.3,14.7,3.8 L,444 L,2434,2474,10.3 L,75.0,,1.31,3.7 DN,0.1 I-O,,,,,,,,
8,07/01/2026,4:15:59 PM Pacific Daylight Time,150.4,167.1,41.4,28.7 L,12 L,26.8,4.3,108.2,12.5,6.4 L,704 L,2735,2824,14.4 L,76.3,,1.42,3.9 DN,0.9 O-I,,,,,,,,
9,07/01/2026,4:16:34 PM Pacific Daylight Time,147.9,160.3,47.2,6.7 L,1 R,30.5,4.6,105.2,13.7,2.8 L,36 R,3349,3349,0.6 R,74.8,,1.41,3.9 DN,1.3 O-I,,,,,,,,
10,07/01/2026,4:16:53 PM Pacific Daylight Time,147.6,162.4,45.2,13.0 L,4 L,28.8,4.4,104.1,14.2,3.5 L,235 L,2689,2699,5.0 L,74.2,,1.40,4.5 DN,1.1 O-I,,,,,,,,
11,07/01/2026,4:17:20 PM Pacific Daylight Time,144.4,159.6,44.6,37.5 L,21 L,28.9,4.3,105.9,14.5,6.6 L,1362 L,2616,2949,27.5 L,74.0,,1.43,2.8 DN,0.6 O-I,,,,,,,,
Average,,,137.7,153.0,42.9,18.6 L,9 L,28.5,4.2,101.5,14.2,4.1 L,706 L,2953,3079,13.3 L,74.9,,1.36,3.3 DN,0.4 O-I,,,,,,,,
