Club	Carry Target	Ball Speed Target	Launch Angle Target	Back Spin Target	Descent Angle Target	Smash Factor Target
Dr (10.5°)	280.0	123.5	13.5	2600.0	4.8	1.47
3w (15.0°)	237.0	116.4	12.8	3800.0	4.6	1.42
3h (19.0°)	214.0	114.8	14.2	4500.0	6.1	1.4
4h (22.0°)	197.0	110.6	16.5	5000.0	8.3	1.4
5i (25.5°)	192.0	107.4	16.6	5550.0	8.1	1.36
6i (29.0°)	185.0	106.1	18.9	5900.0	10.6	1.36
7i (33.0°)	175.0	103.2	21.4	6860.0	13.6	1.34
8i (37.0°)	168.0	101.8	24.1	7340.0	17.1	1.34
9i (41.0°)	157.0	97.7	26.7	8100.0	20.4	1.32
PW (46.0°)	158.0	102.2	29.9	8600.0	27.0	1.42
GW (52.0°)	137.0	92.3	33.8	9160.0	31.3	1.42
SW (56.0°)	132.0	92.3	36.4	9480.0	36.1	1.42
LW (60.0°)	126.0	90.9	39.0	9800.0	40.5	1.42
