brand,model,year,mpf,category,tier,vs_P770_gamer,vs_X20Tour_best,fit_score,in_pref_band,loft,moi,vcog,head_weight_g
TAYLORMADE,P790 #6,2024.0,697,Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",130,-19,98.5,True,26.5,13.9213,0.774,262.4
MIZUNO,JPX Hot Metal Pro #6,2023.0,696,Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",129,-20,98.0,True,24.0,14.2347,0.842,257.2
TITLEIST,T250* Launch Forged #6,2025.0,693,Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",126,-23,96.5,True,32.0,13.2028,0.759,253.5
TITLEIST,T250 Forged #6,2025.0,690,Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",123,-26,95.0,True,27.5,13.4775,0.789,260.0
MIZUNO,JPX 925 Hot Metal Pro #6,2025.0,713,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",146,-3,93.5,True,26.0,13.9995,0.839,255.5
COBRA,Dark Speed #6,2024.0,713,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",146,-3,93.5,True,24.0,11.9984,0.846,260.0
MIZUNO,MX Speed Metal #6,2026.0,676,Game Improvement,"B - P770 replacement, slight forgiveness bump",109,-40,88.0,True,,,,
COBRA,King Tec-X Forged One Length #6,2025.0,724,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",157,8,88.0,True,25.0,11.8059,0.769,267.0
TAYLORMADE,P790 Forged #6,2025.0,676,Game Improvement,"B - P770 replacement, slight forgiveness bump",109,-40,88.0,True,27.0,12.2859,0.828,255.8
CALLAWAY,Quantum Max #6,2026.0,728,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",161,12,86.0,True,25.5,13.8912,0.856,257.5
MALTBY,TS1-IM Forged #6,2023.0,728,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",161,12,86.0,True,28.5,11.8759,0.831,260.5
CALLAWAY,Paradym X #6,2023.0,672,Game Improvement,"B - P770 replacement, slight forgiveness bump",105,-44,86.0,True,23.0,14.0355,0.877,262.5
CALLAWAY,Elyte #6,2025.0,730,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",163,14,85.0,True,25.0,12.3153,0.819,256.2
PING,G430 #6,2023.0,731,Super Game Improvement,"A - recreate the X-20 Tour (max forgiveness, players look)",164,15,84.5,True,25.5,18.2695,0.88,256.4
CALLAWAY,Quantum Max Fast #6,2026.0,741,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),174,25,79.5,False,24.0,14.9329,0.879,251.7
CALLAWAY,Elyte Max Fast #6,2025.0,743,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),176,27,78.5,False,26.0,13.4534,0.805,253.0
PING,GLE4 #6,2026.0,744,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),177,28,78.0,False,33.0,18.4986,0.877,262.5
TAYLORMADE,Qi HL #6,2024.0,744,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),177,28,78.0,False,26.0,13.4954,0.831,252.0
CALLAWAY,Paradym #6,2023.0,656,Game Improvement,"B - P770 replacement, slight forgiveness bump",89,-60,78.0,True,26.0,12.6749,0.849,259.9
PXG,0311 XP Gen 7 SX Forged #6,2025.0,650,Game Improvement,"B - P770 replacement, slight forgiveness bump",83,-66,75.0,True,23.0,15.5149,0.897,254.7
COBRA,King 3DP #6,2026.0,753,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),186,37,73.5,False,25.0,12.7221,0.806,260.4
MALTBY,TS4 DBM Black #6,2025.0,753,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),186,37,73.5,False,29.0,11.5726,0.81,259.0
