iron,loft6i,MOI,adjVCOG,MPF,GD_spin,GD_descent,GD_peak_ft,GD_disp_sqft,CC_spin,CC_launch,CC_descent,MGS_ballspd,MGS_carry,MGS_spin,MGS_descent,MGS_score,MGS_forgive,dMOI_vsP770,dAdjVCOG_vsP770,dLoft_vsP770,launch_fit
Wilson Staff Dynapwr,24.0,16.505,-0.068,498,5604,45.8,88,169,5277.0,20.2,47.0,109.68,154.36,5589,44.79,8.5,8.3,4.965,-0.024000000000000007,-5.0,3.26
Ping i240,30.0,15.8352,0.002,431,5662,45.6,85,137,,,,112.75,156.77,6170,46.98,,,4.295200000000001,0.046,1.0,1.9
TaylorMade Qi4D Max HL,,,,,5843,45.9,84,181,,,,,,,,,,,,,1.88
Mizuno Pro M-13,28.0,12.1274,-0.052,506,5799,45.7,85,165,,,,109.18,152.1,5894,45.56,,,0.5874000000000006,-0.008,-1.0,1.44
Callaway Apex Ti Fusion,26.0,13.0481,-0.062,558,5557,45.6,86,227,,,,101.33,140.75,4766,40.15,9.1,8.8,1.5081000000000007,-0.018000000000000002,-3.0,1.4
PXG 0311P,26.0,14.4828,-0.041,632,4919,45.4,89,167,,,,109.82,155.11,5370,44.82,,,2.9428,0.0029999999999999957,-3.0,1.25
Ping G740,24.0,18.8575,-0.067,756,4999,44.7,86,261,4787.0,20.9,47.0,95.03,128.42,4253,37.43,8.7,8.5,7.317500000000003,-0.023000000000000007,-5.0,0.63
TaylorMade P790,27.0,12.2859,-0.076,676,4911,44.5,84,168,,,,,,,,,,0.7459000000000007,-0.032,-2.0,-2.05
Mizuno Pro M-15,26.5,11.9459,-0.082,542,5113,43.4,80,337,,,,110.31,156.12,5390,43.72,,,0.4059000000000008,-0.038000000000000006,-2.5,-4.26
Ping i540,26.0,15.4534,-0.026,540,4429,42.8,81,148,4767.0,20.8,46.0,111.78,159.64,5108,44.17,,,3.913400000000001,0.018,-3.0,-5.18
Titleist T250,32.0,13.2028,-0.069,693,,,,,,,,110.32,155.95,5412,44.98,,,1.6628000000000007,-0.02500000000000001,3.0,
">> YOUR P770 (GC3 @75mph, not robot)",29,11.54,-0.044,,4949*,39.5*,61*,,,,,,,,,,,,,,
