Club	Carry Target	Ball Speed Target	Launch Angle Target	Back Spin Target	Descent Angle Target	Smash Factor Target
Dr (10.5°)	130.0	123.5	13.5	2600.0	10.3	1.47
3w (15.0°)	107.0	116.4	12.8	3800.0	10.1	1.42
3h (19.0°)	113.0	114.8	14.2	4500.0	11.6	1.4
4h (22.0°)	119.0	110.6	16.5	5000.0	13.7	1.4
5i (25.5°)	111.0	107.4	16.6	5550.0	13.9	1.36
6i (29.0°)	120.0	106.1	18.9	5900.0	16.1	1.36
7i (33.0°)	124.0	103.2	21.4	6860.0	19.0	1.34
8i (37.0°)	131.0	101.8	24.1	7340.0	21.8	1.34
9i (41.0°)	127.0	97.7	26.7	8100.0	24.9	1.32
PW (46.0°)	148.0	102.2	29.9	8600.0	28.6	1.42
GW (52.0°)	128.0	92.3	33.8	9160.0	33.3	1.42
SW (56.0°)	131.0	92.3	36.4	9480.0	36.5	1.42
LW (60.0°)	130.0	90.9	39.0	9800.0	39.6	1.42
						
						
PRO TIPS - What to Look For on GC3						
DRIVER & WOODS: If spin is too high (>2900 rpm for driver), check if you're hitting down on the ball (negative AoA). Target positive AoA (+2 to +4°) for driver. If ball speed is low despite good contact, check smash factor - should be 1.45+ for driver. Low launch + high spin = popup trajectory, adjust tee height and AoA.						
HYBRIDS & LONG IRONS: If carry distance is short despite good ball speed, check descent angle. Should be 40-45° minimum. Too low = not enough spin or launch. If you're hitting it thin (low launch, low spin), focus on contact position - strike just after low point of swing. Club path should be neutral (±2°) for straight flight.						
MID IRONS (6-8): Watch for 'launch/spin mismatch': if launch is good but carry is short, spin is likely too high. Target 6500-7500 rpm for modern lofts. Descent angle should be 45-50° for green-holding power. If smash factor drops below 1.32, focus on center contact. Side spin over 300 rpm = check face angle at impact.						
SHORT IRONS & PW: These should produce peak heights of 90-110 ft and descent angles of 48-52°. If you're ballooning shots (too high, not enough distance), reduce spin by moving ball position slightly back or checking dynamic loft. Target spin: 8000-9000 rpm for PW.						
WEDGES (50-60°): Descent angle is KING here - need 50°+ to hold greens. If angle is too shallow, increase spin (9000-10000+ rpm) or launch angle. Watch spin axis tilt - over 5° means face is open/closed at impact. For full swings, smash factor should still be 1.25-1.31. Low smash = poor contact or excessive manipulation.						
SHOT DIAGNOSIS: Offline + Curve tell the story: Push (right start, straight) = path right, face square to path. Draw (right start, curves left) = path right, face left of path. Pull (left start, straight) = path left, face square to path. Fade (left start, curves right) = path left, face right of path. Use Launch Direction + Curve to diagnose ball flight laws.						
						
						
GAPPING ANALYSIS						
Dr (10.5°) to 3w (15.0°): 23 yards - ⚠️ GAP TOO LARGE - Consider adding a club between these						
3w (15.0°) to 3h (19.0°): -6 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
3h (19.0°) to 4h (22.0°): -6 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
4h (22.0°) to 5i (25.5°): 8 yards - ⚠️ TIGHT - Might overlap in real conditions						
5i (25.5°) to 6i (29.0°): -9 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
6i (29.0°) to 7i (33.0°): -4 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
7i (33.0°) to 8i (37.0°): -7 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
8i (37.0°) to 9i (41.0°): 4 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
9i (41.0°) to PW (46.0°): -21 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
PW (46.0°) to GW (52.0°): 20 yards - ✓ Good spacing						
GW (52.0°) to SW (56.0°): -3 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
SW (56.0°) to LW (60.0°): 1 yards - ⚠️ TOO CLOSE - Consider removing one club or adjusting technique						
						
						
NOTES						
• All target values are optimized for YOUR specific swing speeds and lofts						
• Carry distances assume standard conditions (sea level, 70°F, no wind)						
• Descent angles 40°+ ensure balls land softly and hold greens						
• Green highlight = Target value | Yellow highlight = Acceptable range						
• Focus on TRENDS across multiple shots, not single shot perfection						
• Ball speed and smash factor are your 'contact quality' metrics						
• Launch angle + spin rate determine trajectory shape and carry						
• Club path + face angle at impact determine start line and curve						
