Club,Club Speed (mph),Target Smash,Carry now (yd),Carry target (yd),Total now (yd),Total target (yd),Gap to next (yd)
Dr (10.5 deg),84.8,1.47,194,206,223,237,24
3w (15 deg),81.8,1.43,170,180,190,202,16
3h (19 deg),80.8,1.41,154,163,169,179,11
4h (22 deg),78.8,1.40,143,151,154,163,0
5i (25.5 deg),79.8,1.39,143,151,151,161,7
6i (29 deg),77.8,1.38,136,144,142,151,9
7i (33 deg),74.8,1.38,127,135,132,140,11
8i (37 deg),72.3,1.36,116,123,120,127,8
9i (41 deg),69.8,1.34,108,115,110,117,9
PW (46 deg),67.8,1.32,99,105,101,107,15
GW (52 deg),64.8,1.28,84,89,85,90,14
SW (56 deg),62.8,1.26,70,74,71,75,14
LW (60 deg),60.8,1.23,56,60,56,60,
