Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,03/01/2026,12:57:03 PM Pacific Standard Time,60.3,113.6,14.4,3.5 R,3 R,20.4,2.3,67.3,14.6,0.7 R,1109 R,3791,3950,16.3 R,73.6,,0.92,8.5 DN,0.9 I-O,,,,,,,,
2,03/01/2026,12:57:23 PM Pacific Standard Time,123.0,175.7,49.0,11.8 R,6 R,35.8,4.5,94.8,16.5,2.6 R,826 R,5993,6050,7.8 R,75.0,,1.26,4.7 DN,3.0 I-O,,,,,,,,
3,03/01/2026,12:57:57 PM Pacific Standard Time,99.1,154.8,40.5,4.5 R,0,33.9,3.9,80.3,20.4,2.5 R,23 R,4224,4224,0.3 R,75.9,,1.06,3.7 DN,3.7 I-O,,,,,,,,
4,03/01/2026,12:58:19 PM Pacific Standard Time,139.8,198.1,70.9,0.1 R,1 L,42.3,5.3,102.2,18.9,0.6 R,132 L,6073,6074,1.2 L,76.8,,1.33,6.0 DN,1.5 I-O,,,,,,,,
5,03/01/2026,12:58:53 PM Pacific Standard Time,126.7,180.0,46.0,15.2 R,12 R,34.0,4.4,98.4,14.6,1.5 R,1533 R,5981,6174,14.4 R,77.8,,1.26,7.3 DN,0.2 I-O,,,,,,,,
6,03/01/2026,12:59:18 PM Pacific Standard Time,72.2,128.4,20.0,4.2 R,4 R,23.7,2.7,71.6,16.1,0.0,1132 R,3574,3749,17.6 R,76.5,,0.94,8.2 DN,1.1 O-I,,,,,,,,
7,03/01/2026,1:00:08 PM Pacific Standard Time,7.0,253.9,0.1,0.0,0,0.7,0.1,97.1,0.7,0.5 L,859 R,686,1099,51.4 R,75.4,,1.29,5.9 DN,1.9 I-O,,,,,,,,
8,03/01/2026,1:00:38 PM Pacific Standard Time,139.1,200.7,70.5,6.9 L,4 L,41.9,5.2,100.6,19.8,1.2 L,377 L,5311,5324,4.1 L,74.6,,1.35,4.5 DN,0.9 I-O,,,,,,,,
9,03/01/2026,1:01:36 PM Pacific Standard Time,140.8,201.4,75.7,2.2 R,1 R,43.6,5.4,102.2,20.1,0.4 R,128 R,5873,5874,1.2 R,76.4,,1.34,4.4 DN,1.0 I-O,,,,,,,,
10,03/01/2026,1:02:10 PM Pacific Standard Time,38.7,114.2,4.8,5.4 L,4 L,10.4,1.3,72.1,8.4,1.9 L,5843 L,3173,6649,61.5 L,76.0,,0.95,8.3 DN,0.0,,,,,,,,
11,03/01/2026,1:02:38 PM Pacific Standard Time,28.9,193.0,0.8,2.8 R,1 R,2.2,0.7,91.7,1.9,3.4 R,1784 R,2565,3124,34.8 R,69.9,,1.31,4.3 DN,2.5 I-O,,,,,,,,
12,03/01/2026,1:03:07 PM Pacific Standard Time,118.4,171.0,49.0,9.0 R,7 R,36.2,4.4,92.0,17.7,0.8 R,1033 R,5859,5949,10.0 R,72.8,,1.26,6.3 DN,0.0,,,,,,,,
13,03/01/2026,1:03:32 PM Pacific Standard Time,122.2,179.1,58.6,0.6 R,1 L,39.6,4.7,91.9,20.4,0.6 R,86 L,5299,5300,0.9 L,72.1,,1.27,4.3 DN,1.1 I-O,,,,,,,,
14,03/01/2026,1:03:59 PM Pacific Standard Time,16.7,62.2,2.0,2.8 R,1 R,9.7,0.8,47.4,8.9,7.7 R,2731 R,1895,3324,55.2 R,54.5,,0.87,9.0 DN,0.7 O-I,,,,,,,,
15,03/01/2026,1:04:30 PM Pacific Standard Time,119.5,170.9,59.0,14.9 R,9 R,40.8,4.7,92.1,20.3,2.8 R,1326 R,6643,6774,11.3 R,72.8,,1.26,6.8 DN,0.9 O-I,,,,,,,,
16,03/01/2026,1:05:09 PM Pacific Standard Time,123.1,177.9,44.0,24.0 R,13 R,33.2,4.3,96.5,15.0,5.2 R,1696 R,5572,5824,16.9 R,76.2,,1.27,5.2 DN,2.2 I-O,,,,,,,,
17,03/01/2026,1:05:38 PM Pacific Standard Time,130.6,187.8,69.5,8.4 R,4 R,42.9,5.1,96.9,20.9,2.0 R,432 R,6059,6074,4.1 R,74.4,,1.30,4.7 DN,1.0 I-O,,,,,,,,
18,03/01/2026,1:06:10 PM Pacific Standard Time,112.8,187.9,17.4,9.8 R,6 R,16.6,3.2,101.8,6.7,2.0 R,791 R,4201,4275,10.7 R,76.7,,1.33,5.8 DN,0.7 I-O,,,,,,,,
19,03/01/2026,1:06:37 PM Pacific Standard Time,116.6,163.9,51.0,18.3 R,10 R,38.0,4.5,91.9,18.0,4.3 R,1614 R,7247,7425,12.6 R,77.7,,1.18,6.0 DN,0.1 I-O,,,,,,,,
20,03/01/2026,1:07:37 PM Pacific Standard Time,122.3,177.3,43.5,6.6 R,4 R,32.9,4.3,94.8,15.1,1.3 R,474 R,5429,5450,5.0 R,74.6,,1.27,3.9 DN,1.8 I-O,,,,,,,,
21,03/01/2026,1:08:00 PM Pacific Standard Time,138.1,198.9,72.3,5.8 R,2 R,42.6,5.3,100.4,20.2,1.5 R,211 R,5545,5549,2.2 R,76.5,,1.31,4.7 DN,1.4 I-O,,,,,,,,
22,03/01/2026,1:08:31 PM Pacific Standard Time,123.5,178.7,68.9,16.6 R,7 R,43.7,5.0,93.4,22.4,4.6 R,876 R,6390,6450,7.8 R,78.5,,1.19,4.9 DN,1.8 I-O,,,,,,,,
23,03/01/2026,1:08:55 PM Pacific Standard Time,117.7,173.3,54.3,2.5 L,3 L,38.5,4.5,89.8,20.2,0.1 R,346 L,5288,5299,3.7 L,75.6,,1.19,4.0 DN,0.9 I-O,,,,,,,,
24,03/01/2026,1:09:30 PM Pacific Standard Time,121.6,179.8,49.9,2.2 L,1 R,35.7,4.4,92.3,18.0,1.6 L,131 R,4823,4825,1.6 R,78.9,,1.17,6.3 DN,1.3 O-I,,,,,,,,
25,03/01/2026,1:09:52 PM Pacific Standard Time,140.7,201.3,69.1,12.4 L,7 L,41.4,5.2,102.1,18.8,2.3 L,634 L,5513,5549,6.6 L,77.7,,1.31,5.0 DN,1.1 I-O,,,,,,,,
26,03/01/2026,1:10:21 PM Pacific Standard Time,119.5,173.3,41.4,8.9 R,3 R,32.2,4.2,93.8,14.8,2.8 R,396 R,5585,5599,4.1 R,77.2,,1.21,4.4 DN,0.6 I-O,,,,,,,,
27,03/01/2026,1:10:53 PM Pacific Standard Time,87.5,138.5,29.8,4.6 R,5 R,29.3,3.4,77.2,17.8,0.3 L,1117 R,4770,4899,13.2 R,78.2,,0.99,7.4 DN,2.5 O-I,,,,,,,,
28,03/01/2026,1:11:12 PM Pacific Standard Time,125.7,178.9,56.0,2.0 L,1 L,38.5,4.7,95.3,18.0,0.3 L,169 L,6197,6199,1.6 L,75.6,,1.26,3.5 DN,0.3 I-O,,,,,,,,
29,03/01/2026,1:11:34 PM Pacific Standard Time,133.9,189.9,70.6,10.1 R,6 R,43.0,5.2,99.5,20.0,1.7 R,717 R,6535,6574,6.3 R,77.0,,1.29,6.3 DN,0.5 O-I,,,,,,,,
